,token,ner_tag
46857,O,film
46858,O,directed
46859,O,by
46860,B-Director,bryan
46861,I-Director,singer
46862,O,and
46863,O,starring
46864,B-Actor,kevin
46865,I-Actor,spacey
46866,O,as
46867,B-Plot,a
46868,I-Plot,cripple
46869,O,i
46870,O,m
46871,O,thinking
46872,O,of
46873,O,that
46874,B-Genre,marvel
46875,I-Genre,superhero
46876,I-Genre,movie
46877,O,that
46878,O,came
46879,O,out
46880,O,in
46881,B-Year,2012
46882,O,directed
46883,O,by
46884,B-Director,joss
46885,I-Director,whedon
46886,O,i
46887,O,m
46888,O,thinking
46889,O,of
46890,O,that
46891,O,movie
46892,O,that
46893,O,starred
46894,B-Actor,dudley
46895,I-Actor,moore
46896,O,as
46897,B-Plot,an
46898,I-Plot,alcoholic
46899,I-Plot,millionaire
46900,O,that
46901,O,was
46902,B-Relationship,remade
46903,O,with
46904,B-Actor,russell
46905,I-Actor,brand
46906,O,i
46907,O,m
46908,O,thinking
46909,O,of
46910,O,that
46911,O,one
46912,O,film
46913,O,where
46914,B-Plot,all
46915,I-Plot,the
46916,I-Plot,child
46917,I-Plot,wanted
46918,I-Plot,for
46919,I-Plot,the
46920,I-Plot,holidays
46921,I-Plot,was
46922,I-Plot,a
46923,I-Plot,bebe
46924,I-Plot,gun
46925,O,i
46926,O,m
46927,O,thinking
46928,O,of
46929,O,that
46930,B-Director,tim
46931,I-Director,burton
46932,O,film
46933,O,in
46934,O,which
46935,O,he
46936,B-Origin,remade
46937,I-Origin,the
46938,I-Origin,original
46939,O,that
46940,O,had
46941,B-Actor,gene
46942,I-Actor,wilder
46943,O,i
46944,O,m
46945,O,thinking
46946,O,of
46947,O,the
46948,B-Year,1960
46949,O,s
46950,O,movie
46951,O,starring
46952,B-Actor,hayley
46953,I-Actor,mills
46954,O,and
46955,B-Actor,dean
46956,I-Actor,jones
46957,O,where
46958,B-Plot,a
46959,I-Plot,woman
46960,I-Plot,gets
46961,I-Plot,kidnapped
46962,I-Plot,and
46963,I-Plot,uses
46964,I-Plot,a
46965,I-Plot,pet
46966,I-Plot,to
46967,I-Plot,send
46968,I-Plot,a
46969,I-Plot,message
46970,I-Plot,to
46971,I-Plot,its
46972,I-Plot,owner
46973,O,i
46974,O,m
46975,O,thinking
46976,O,of
46977,O,the
46978,B-Year,1987
46979,B-Opinion,classic
46980,O,about
46981,B-Character_Name,al
46982,I-Character_Name,capone
46983,O,starring
46984,B-Actor,robert
46985,I-Actor,de
46986,I-Actor,niro
46987,O,i
46988,O,m
46989,O,thinking
46990,O,of
46991,O,the
46992,B-Year,1991
46993,O,film
46994,O,starring
46995,B-Actor,river
46996,I-Actor,phoenix
46997,O,and
46998,B-Actor,keanu
46999,I-Actor,reeves
47000,O,as
47001,B-Plot,male
47002,I-Plot,hustlers
47003,O,i
47004,O,m
47005,O,thinking
47006,O,of
47007,O,the
47008,B-Actor,cary
47009,I-Actor,grant
47010,O,film
47011,O,in
47012,O,which
47013,B-Plot,a
47014,I-Plot,man
47015,I-Plot,finds
47016,I-Plot,out
47017,I-Plot,as
47018,I-Plot,he
47019,I-Plot,s
47020,I-Plot,about
47021,I-Plot,to
47022,I-Plot,get
47023,I-Plot,married
47024,I-Plot,that
47025,I-Plot,his
47026,I-Plot,aunts
47027,I-Plot,are
47028,I-Plot,insane
47029,O,i
47030,O,m
47031,O,thinking
47032,O,of
47033,O,the
47034,O,classic
47035,B-Year,50
47036,O,s
47037,O,era
47038,O,film
47039,O,about
47040,B-Plot,a
47041,I-Plot,boy
47042,I-Plot,a
47043,I-Plot,stray
47044,I-Plot,dog
47045,I-Plot,he
47046,I-Plot,comes
47047,I-Plot,to
47048,I-Plot,love
47049,I-Plot,and
47050,I-Plot,a
47051,I-Plot,tragic
47052,I-Plot,ending
47053,O,i
47054,O,m
47055,O,thinking
47056,O,of
47057,O,the
47058,B-Opinion,classic
47059,B-Director,alfred
47060,I-Director,hitchcock
47061,O,film
47062,O,that
47063,O,stars
47064,B-Actor,jimmy
47065,I-Actor,stewart
47066,O,as
47067,O,a
47068,B-Plot,private
47069,I-Plot,eye
47070,I-Plot,who
47071,I-Plot,becomes
47072,I-Plot,enchanted
47073,I-Plot,with
47074,I-Plot,a
47075,I-Plot,beautiful
47076,I-Plot,blonde
47077,I-Plot,woman
47078,I-Plot,he
47079,I-Plot,is
47080,I-Plot,hired
47081,I-Plot,to
47082,I-Plot,follow
47083,O,i
47084,O,m
47085,O,thinking
47086,O,of
47087,O,the
47088,B-Relationship,final
47089,I-Relationship,trilogy
47090,I-Relationship,film
47091,O,in
47092,O,which
47093,B-Character_Name,frodo
47094,O,finally
47095,B-Plot,destroys
47096,I-Plot,the
47097,I-Plot,ring
47098,I-Plot,in
47099,I-Plot,mordor
47100,O,i
47101,O,m
47102,O,thinking
47103,O,of
47104,O,the
47105,B-Relationship,first
47106,I-Relationship,film
47107,O,in
47108,O,a
47109,B-Opinion,popular
47110,O,movie
47111,O,series
47112,O,that
47113,O,stars
47114,B-Plot,a
47115,I-Plot,young
47116,I-Plot,boy
47117,I-Plot,who
47118,I-Plot,discovers
47119,I-Plot,he
47120,I-Plot,is
47121,I-Plot,a
47122,I-Plot,wizard
47123,O,i
47124,O,m
47125,O,thinking
47126,O,of
47127,O,the
47128,B-Genre,modern
47129,B-Opinion,classic
47130,B-Actor,john
47131,I-Actor,singleton
47132,B-Plot,coming
47133,O,of
47134,B-Plot,age
47135,I-Plot,film
47136,I-Plot,about
47137,I-Plot,the
47138,I-Plot,crime
47139,I-Plot,ridden
47140,I-Plot,lives
47141,I-Plot,of
47142,I-Plot,south
47143,I-Plot,central
47144,I-Plot,teenagers
47145,O,i
47146,O,m
47147,O,thinking
47148,O,of
47149,O,the
47150,O,movie
47151,O,directed
47152,O,by
47153,B-Director,stephen
47154,I-Director,spielberg
47155,O,in
47156,O,which
47157,B-Actor,harrison
47158,I-Actor,ford
47159,O,plays
47160,B-Plot,a
47161,I-Plot,professor
47162,I-Plot,on
47163,I-Plot,a
47164,I-Plot,quest
47165,I-Plot,to
47166,I-Plot,save
47167,I-Plot,the
47168,I-Plot,world
47169,O,i
47170,O,m
47171,O,thinking
47172,O,of
47173,O,the
47174,O,movie
47175,O,in
47176,O,which
47177,B-Plot,a
47178,I-Plot,man
47179,I-Plot,s
47180,I-Plot,father
47181,I-Plot,is
47182,I-Plot,killed
47183,I-Plot,and
47184,I-Plot,his
47185,I-Plot,mother
47186,I-Plot,marries
47187,I-Plot,the
47188,I-Plot,murderer
47189,I-Plot,which
47190,I-Plot,is
47191,I-Plot,his
47192,I-Plot,uncle
47193,O,and
47194,O,it
47195,O,is
47196,O,a
47197,B-Origin,shakespeare
47198,I-Origin,classic
47199,O,i
47200,O,m
47201,O,thinking
47202,O,of
47203,O,the
47204,O,movie
47205,O,in
47206,O,which
47207,B-Plot,a
47208,I-Plot,young
47209,I-Plot,woman
47210,I-Plot,writes
47211,I-Plot,a
47212,I-Plot,book
47213,I-Plot,about
47214,I-Plot,black
47215,I-Plot,women
47216,I-Plot,who
47217,I-Plot,work
47218,I-Plot,for
47219,I-Plot,white
47220,I-Plot,families
47221,I-Plot,in
47222,I-Plot,the
47223,I-Plot,deep
47224,I-Plot,south
47225,I-Plot,in
47226,I-Plot,the
47227,I-Plot,1960
47228,I-Plot,s
47229,O,i
47230,O,m
47231,O,thinking
47232,O,of
47233,O,the
47234,O,movie
47235,O,in
47236,O,which
47237,B-Plot,drugs
47238,I-Plot,destroy
47239,I-Plot,the
47240,I-Plot,lives
47241,I-Plot,of
47242,I-Plot,many
47243,I-Plot,people
47244,I-Plot,in
47245,I-Plot,many
47246,I-Plot,ways
47247,O,i
47248,O,m
47249,O,thinking
47250,O,of
47251,O,the
47252,O,movie
47253,O,in
47254,O,which
47255,O,this
47256,B-Plot,regular
47257,I-Plot,guy
47258,I-Plot,meets
47259,I-Plot,a
47260,I-Plot,beautiful
47261,I-Plot,woman
47262,I-Plot,and
47263,I-Plot,falls
47264,I-Plot,for
47265,I-Plot,her
47266,I-Plot,and
47267,I-Plot,she
47268,I-Plot,for
47269,I-Plot,him
47270,I-Plot,but
47271,I-Plot,he
47272,I-Plot,does
47273,I-Plot,n
47274,I-Plot,t
47275,I-Plot,trust
47276,I-Plot,that
47277,I-Plot,she
47278,I-Plot,s
47279,I-Plot,really
47280,I-Plot,into
47281,I-Plot,him
47282,O,the
47283,O,title
47284,O,makes
47285,O,you
47286,O,think
47287,O,of
47288,O,a
47289,O,sport
47290,O,i
47291,O,m
47292,O,thinking
47293,O,of
47294,O,the
47295,O,movie
47296,O,starring
47297,B-Actor,bill
47298,I-Actor,murray
47299,O,where
47300,O,he
47301,O,is
47302,B-Plot,a
47303,I-Plot,weatherman
47304,I-Plot,and
47305,I-Plot,lives
47306,I-Plot,the
47307,I-Plot,same
47308,I-Plot,day
47309,I-Plot,over
47310,I-Plot,and
47311,I-Plot,over
47312,I-Plot,again
47313,O,i
47314,O,m
47315,O,thinking
47316,O,of
47317,O,the
47318,O,movie
47319,O,starring
47320,B-Actor,harrison
47321,I-Actor,ford
47322,O,as
47323,O,a
47324,B-Plot,hunky
47325,I-Plot,professor
47326,I-Plot,on
47327,I-Plot,a
47328,I-Plot,mission
47329,I-Plot,to
47330,I-Plot,save
47331,I-Plot,the
47332,I-Plot,world
47333,I-Plot,from
47334,I-Plot,nazis
47335,O,i
47336,O,m
47337,O,thinking
47338,O,of
47339,O,the
47340,O,movie
47341,O,that
47342,O,had
47343,B-Plot,a
47344,I-Plot,little
47345,I-Plot,girl
47346,I-Plot,superhero
47347,O,named
47348,B-Character_Name,hit
47349,I-Character_Name,girl
47350,O,and
47351,B-Actor,nicholas
47352,I-Actor,cage
47353,O,i
47354,O,m
47355,O,thinking
47356,O,of
47357,O,the
47358,O,movie
47359,O,that
47360,O,stars
47361,O,the
47362,O,girl
47363,O,from
47364,O,jerry
47365,O,mcguire
47366,O,and
47367,B-Plot,she
47368,I-Plot,s
47369,I-Plot,determined
47370,I-Plot,to
47371,I-Plot,find
47372,I-Plot,love
47373,I-Plot,and
47374,I-Plot,deal
47375,I-Plot,with
47376,I-Plot,her
47377,I-Plot,issues
47378,I-Plot,of
47379,I-Plot,weight
47380,I-Plot,and
47381,I-Plot,insecurity
47382,O,i
47383,O,m
47384,O,thinking
47385,O,of
47386,O,the
47387,O,movie
47388,O,that
47389,O,tells
47390,B-Plot,the
47391,I-Plot,store
47392,I-Plot,of
47393,I-Plot,the
47394,I-Plot,state
47395,I-Plot,of
47396,I-Plot,texas
47397,I-Plot,freeing
47398,I-Plot,itself
47399,I-Plot,from
47400,I-Plot,mexico
47401,I-Plot,in
47402,I-Plot,an
47403,I-Plot,epic
47404,I-Plot,battle
47405,O,i
47406,O,m
47407,O,thinking
47408,O,of
47409,O,the
47410,O,movie
47411,B-Plot,where
47412,I-Plot,a
47413,I-Plot,man
47414,I-Plot,risks
47415,I-Plot,all
47416,I-Plot,he
47417,I-Plot,has
47418,I-Plot,to
47419,I-Plot,save
47420,I-Plot,the
47421,I-Plot,lives
47422,I-Plot,of
47423,I-Plot,many
47424,I-Plot,jews
47425,O,i
47426,O,m
47427,O,thinking
47428,O,of
47429,O,the
47430,O,movie
47431,O,where
47432,B-Character_Name,han
47433,I-Character_Name,solo
47434,O,and
47435,B-Character_Name,luke
47436,I-Character_Name,skywalker
47437,B-Plot,go
47438,I-Plot,head
47439,I-Plot,to
47440,I-Plot,head
47441,I-Plot,the
47442,I-Plot,dark
47443,I-Plot,side
47444,I-Plot,in
47445,I-Plot,an
47446,I-Plot,intergalactic
47447,I-Plot,battle
47448,I-Plot,of
47449,I-Plot,epic
47450,I-Plot,proportions
47451,O,i
47452,O,m
47453,O,thinking
47454,O,of
47455,O,the
47456,O,movie
47457,O,where
47458,B-Actor,jackie
47459,I-Actor,chan
47460,O,plays
47461,B-Plot,a
47462,I-Plot,secret
47463,I-Plot,agent
47464,I-Plot,who
47465,I-Plot,has
47466,I-Plot,to
47467,I-Plot,look
47468,I-Plot,after
47469,I-Plot,his
47470,I-Plot,girlfriend
47471,I-Plot,s
47472,I-Plot,three
47473,I-Plot,kids
47474,O,i
47475,O,m
47476,O,thinking
47477,O,of
47478,O,the
47479,O,movie
47480,O,where
47481,O,the
47482,B-Plot,daughter
47483,I-Plot,disowns
47484,I-Plot,her
47485,I-Plot,mother
47486,I-Plot,because
47487,I-Plot,she
47488,I-Plot,s
47489,I-Plot,a
47490,I-Plot,noticeable
47491,I-Plot,african
47492,I-Plot,american
47493,I-Plot,woman
47494,I-Plot,yet
47495,I-Plot,she
47496,I-Plot,the
47497,I-Plot,daughter
47498,I-Plot,can
47499,I-Plot,pass
47500,I-Plot,for
47501,I-Plot,white
47502,O,i
47503,O,m
47504,O,thinking
47505,O,of
47506,O,the
47507,O,movie
47508,O,where
47509,B-Plot,the
47510,I-Plot,man
47511,I-Plot,is
47512,I-Plot,a
47513,I-Plot,doctor
47514,I-Plot,and
47515,I-Plot,he
47516,I-Plot,s
47517,I-Plot,framed
47518,I-Plot,for
47519,I-Plot,his
47520,I-Plot,wife
47521,I-Plot,s
47522,I-Plot,death
47523,I-Plot,and
47524,I-Plot,he
47525,I-Plot,becomes
47526,I-Plot,wanted
47527,O,i
47528,O,m
47529,O,thinking
47530,O,of
47531,O,the
47532,O,movie
47533,O,with
47534,B-Actor,ali
47535,I-Actor,macgraw
47536,O,and
47537,B-Actor,ryan
47538,I-Actor,o
47539,I-Actor,neal
47540,O,based
47541,O,on
47542,B-Origin,the
47543,I-Origin,book
47544,I-Origin,by
47545,I-Origin,eric
47546,I-Origin,segal
47547,O,where
47548,B-Plot,they
47549,I-Plot,play
47550,I-Plot,college
47551,I-Plot,students
47552,I-Plot,who
47553,I-Plot,are
47554,I-Plot,attracted
47555,I-Plot,to
47556,I-Plot,each
47557,I-Plot,other
47558,O,i
47559,O,m
47560,O,thinking
47561,O,of
47562,O,the
47563,O,movie
47564,O,with
47565,B-Actor,jim
47566,I-Actor,belushi
47567,O,that
47568,B-Plot,involves
47569,I-Plot,a
47570,I-Plot,fraternity
47571,I-Plot,house
47572,I-Plot,and
47573,I-Plot,toga
47574,I-Plot,parties
47575,O,i
47576,O,m
47577,O,thinking
47578,O,of
47579,O,the
47580,O,movie
47581,O,with
47582,B-Actor,laurence
47583,I-Actor,olivier
47584,O,where
47585,O,he
47586,B-Plot,has
47587,I-Plot,a
47588,I-Plot,new
47589,I-Plot,wife
47590,I-Plot,who
47591,I-Plot,becomes
47592,I-Plot,obsessed
47593,I-Plot,with
47594,I-Plot,the
47595,I-Plot,death
47596,I-Plot,of
47597,I-Plot,his
47598,I-Plot,old
47599,I-Plot,wife
47600,O,i
47601,O,m
47602,O,thinking
47603,O,of
47604,O,the
47605,B-Relationship,sequel
47606,I-Relationship,to
47607,I-Relationship,el
47608,I-Relationship,mariachi
47609,O,with
47610,B-Actor,antonio
47611,I-Actor,bandaras
47612,O,and
47613,B-Actor,salma
47614,I-Actor,hayek
47615,O,i
47616,O,m
47617,O,thinking
47618,O,of
47619,O,the
47620,B-Director,stanley
47621,I-Director,kubrick
47622,B-Opinion,masterpiece
47623,O,that
47624,O,stars
47625,B-Actor,malcolm
47626,I-Actor,mcdowell
47627,O,as
47628,B-Plot,a
47629,I-Plot,troubled
47630,I-Plot,youth
47631,I-Plot,in
47632,I-Plot,a
47633,I-Plot,dystopian
47634,I-Plot,england
47635,O,i
47636,O,m
47637,O,thinking
47638,O,of
47639,B-Director,zack
47640,I-Director,snyder
47641,O,s
47642,O,first
47643,O,original
47644,O,screenplay
47645,O,that
47646,O,was
47647,O,a
47648,B-Year,2011
47649,B-Genre,fantasy
47650,I-Genre,action
47651,O,film
47652,O,i
47653,O,m
47654,O,trying
47655,O,to
47656,O,remember
47657,O,the
47658,O,movie
47659,O,with
47660,B-Actor,tom
47661,I-Actor,hanks
47662,O,and
47663,B-Actor,matt
47664,I-Actor,damon
47665,O,that
47666,B-Plot,takes
47667,I-Plot,place
47668,I-Plot,during
47669,I-Plot,world
47670,I-Plot,war
47671,I-Plot,ii
47672,I-Plot,and
47673,B-Actor,tom
47674,I-Actor,hanks
47675,B-Plot,and
47676,I-Plot,his
47677,I-Plot,outfit
47678,I-Plot,look
47679,I-Plot,for
47680,B-Actor,damon
47681,I-Actor,s
47682,B-Plot,character
47683,O,i
47684,O,m
47685,O,trying
47686,O,to
47687,O,remember
47688,O,the
47689,O,name
47690,O,of
47691,O,the
47692,O,old
47693,B-Genre,science
47694,I-Genre,fiction
47695,O,movie
47696,O,where
47697,B-Plot,there
47698,I-Plot,were
47699,I-Plot,all
47700,I-Plot,these
47701,I-Plot,alien
47702,I-Plot,pods
47703,I-Plot,that
47704,I-Plot,were
47705,I-Plot,using
47706,I-Plot,humans
47707,I-Plot,as
47708,I-Plot,hosts
47709,I-Plot,to
47710,I-Plot,reproduce
47711,O,i
47712,O,am
47713,O,thinking
47714,O,about
47715,O,a
47716,B-Genre,classic
47717,I-Genre,italian
47718,O,movie
47719,B-Plot,about
47720,I-Plot,a
47721,I-Plot,jewish
47722,I-Plot,family
47723,I-Plot,in
47724,I-Plot,the
47725,I-Plot,pre
47726,I-Plot,holocaust
47727,I-Plot,italy
47728,O,i
47729,O,am
47730,O,thinking
47731,O,about
47732,O,a
47733,O,film
47734,O,that
47735,O,tells
47736,O,the
47737,B-Plot,story
47738,I-Plot,of
47739,I-Plot,a
47740,I-Plot,future
47741,I-Plot,where
47742,I-Plot,humans
47743,I-Plot,are
47744,I-Plot,subservient
47745,I-Plot,to
47746,I-Plot,orangutans
47747,I-Plot,and
47748,I-Plot,chimpanzees
47749,O,i
47750,O,am
47751,O,thinking
47752,O,about
47753,O,a
47754,O,movie
47755,O,that
47756,B-Actor,clint
47757,I-Actor,eastwood
47758,O,and
47759,B-Actor,morgan
47760,I-Actor,freeman
47761,O,play
47762,B-Plot,retired
47763,I-Plot,outlaws
47764,O,in
47765,O,this
47766,B-Year,1992
47767,B-Genre,american
47768,I-Genre,western
47769,I-Genre,film
47770,O,i
47771,O,am
47772,O,thinking
47773,O,about
47774,O,the
47775,B-Genre,classic
47776,O,film
47777,O,about
47778,O,a
47779,B-Plot,may
47780,I-Plot,december
47781,I-Plot,romance
47782,O,that
47783,O,stars
47784,B-Actor,audrey
47785,I-Actor,hepburn
47786,O,and
47787,B-Actor,humphrey
47788,I-Actor,bogart
47789,O,in
47790,O,the
47791,B-Relationship,original
47792,I-Relationship,adaptation
47793,O,i
47794,O,am
47795,O,thinking
47796,O,about
47797,O,the
47798,B-Genre,dystopian
47799,O,film
47800,O,based
47801,O,on
47802,B-Origin,a
47803,I-Origin,pierre
47804,I-Origin,boulle
47805,I-Origin,novel
47806,O,the
47807,O,original
47808,B-Relationship,70
47809,I-Relationship,s
47810,O,film
47811,O,stars
47812,B-Actor,charlton
47813,I-Actor,heston
47814,O,and
47815,B-Actor,roddy
47816,I-Actor,mcdowall
47817,O,i
47818,O,am
47819,O,thinking
47820,O,of
47821,O,a
47822,B-Year,1930
47823,O,s
47824,O,film
47825,O,based
47826,O,on
47827,B-Origin,an
47828,I-Origin,h
47829,I-Origin,g
47830,I-Origin,wells
47831,I-Origin,novel
47832,O,about
47833,B-Plot,the
47834,I-Plot,events
47835,I-Plot,leading
47836,I-Plot,up
47837,I-Plot,to
47838,I-Plot,and
47839,I-Plot,during
47840,I-Plot,a
47841,I-Plot,fictional
47842,I-Plot,second
47843,I-Plot,dark
47844,I-Plot,age
47845,I-Plot,in
47846,I-Plot,humankind
47847,I-Plot,following
47848,I-Plot,a
47849,I-Plot,catastrophic
47850,I-Plot,world
47851,I-Plot,war
47852,O,i
47853,O,am
47854,O,thinking
47855,O,of
47856,O,a
47857,B-Year,2011
47858,B-Genre,horror
47859,O,film
47860,O,that
47861,O,stars
47862,B-Actor,katie
47863,I-Actor,holmes
47864,O,as
47865,O,the
47866,B-Plot,stepmother
47867,I-Plot,to
47868,I-Plot,a
47869,I-Plot,little
47870,I-Plot,girl
47871,I-Plot,who
47872,I-Plot,has
47873,I-Plot,to
47874,I-Plot,fight
47875,I-Plot,of
47876,I-Plot,malevolent
47877,I-Plot,creatures
47878,I-Plot,in
47879,I-Plot,her
47880,I-Plot,new
47881,I-Plot,home
47882,O,i
47883,O,am
47884,O,thinking
47885,O,of
47886,O,a
47887,B-Year,2012
47888,O,film
47889,O,that
47890,O,stars
47891,B-Actor,kevin
47892,I-Actor,james
47893,O,as
47894,B-Plot,a
47895,I-Plot,high
47896,I-Plot,school
47897,I-Plot,teacher
47898,I-Plot,who
47899,I-Plot,takes
47900,I-Plot,up
47901,I-Plot,boxing
47902,I-Plot,for
47903,I-Plot,a
47904,I-Plot,worthy
47905,I-Plot,cause
47906,O,i
47907,O,am
47908,O,thinking
47909,O,of
47910,O,a
47911,B-Year,90
47912,O,s
47913,O,era
47914,B-Genre,romantic
47915,I-Genre,drama
47916,O,starring
47917,B-Actor,robert
47918,I-Actor,redford
47919,O,and
47920,B-Actor,michelle
47921,I-Actor,pfeiffer
47922,O,as
47923,O,journalists
47924,O,i
47925,O,am
47926,O,thinking
47927,O,of
47928,O,a
47929,B-Year,90
47930,I-Year,s
47931,O,era
47932,O,movie
47933,O,with
47934,B-Actor,kevin
47935,I-Actor,spacey
47936,O,and
47937,B-Actor,annette
47938,I-Actor,benning
47939,B-Plot,star
47940,I-Plot,as
47941,B-Character_Name,thora
47942,I-Character_Name,birch
47943,I-Character_Name,s
47944,B-Plot,dysfunctional
47945,I-Plot,parents
47946,O,i
47947,O,am
47948,O,thinking
47949,O,of
47950,O,a
47951,O,a
47952,O,film
47953,O,that
47954,O,stars
47955,B-Actor,tom
47956,I-Actor,hanks
47957,O,and
47958,B-Actor,meg
47959,I-Actor,ryan
47960,O,as
47961,B-Plot,two
47962,I-Plot,people
47963,I-Plot,whose
47964,I-Plot,romance
47965,I-Plot,begins
47966,I-Plot,on
47967,I-Plot,the
47968,I-Plot,internet
47969,O,i
47970,O,am
47971,O,thinking
47972,O,of
47973,O,a
47974,B-Opinion,classic
47975,B-Year,80
47976,I-Year,s
47977,O,ensemble
47978,O,film
47979,O,about
47980,O,the
47981,B-Plot,gathering
47982,I-Plot,of
47983,I-Plot,college
47984,I-Plot,buddies
47985,O,featuring
47986,B-Actor,kevin
47987,I-Actor,kline
47988,I-Actor,glenn
47989,I-Actor,close
47990,O,and
47991,B-Actor,jeff
47992,I-Actor,goldblum
47993,O,among
47994,O,many
47995,O,others
47996,O,i
47997,O,am
47998,O,thinking
47999,O,of
48000,O,a
48001,O,classic
48002,B-Director,alfred
48003,I-Director,hitchcock
48004,O,film
48005,O,that
48006,B-Plot,tells
48007,I-Plot,the
48008,I-Plot,story
48009,I-Plot,of
48010,B-Character_Name,norman
48011,I-Character_Name,bates
48012,B-Plot,and
48013,I-Plot,his
48014,I-Plot,twisted
48015,I-Plot,relationship
48016,I-Plot,with
48017,I-Plot,his
48018,I-Plot,mother
48019,O,i
48020,O,am
48021,O,thinking
48022,O,of
48023,O,a
48024,B-Opinion,classic
48025,B-Director,billy
48026,I-Director,wilder
48027,O,film
48028,O,that
48029,O,stars
48030,B-Actor,tony
48031,I-Actor,curtis
48032,O,and
48033,B-Actor,jack
48034,I-Actor,lemmon
48035,B-Plot,in
48036,I-Plot,drag
48037,O,i
48038,O,am
48039,O,thinking
48040,O,of
48041,O,a
48042,B-Opinion,classic
48043,B-Genre,chinese
48044,O,movie
48045,O,that
48046,O,was
48047,B-Relationship,remade
48048,I-Relationship,into
48049,I-Relationship,a
48050,I-Relationship,western
48051,O,starring
48052,B-Actor,yul
48053,I-Actor,brenner
48054,O,i
48055,O,am
48056,O,thinking
48057,O,of
48058,O,a
48059,B-Genre,classic
48060,I-Genre,cowboy
48061,O,or
48062,B-Genre,western
48063,I-Genre,movie
48064,O,involving
48065,B-Plot,an
48066,I-Plot,outlaw
48067,I-Plot,and
48068,I-Plot,his
48069,I-Plot,sidekick
48070,O,i
48071,O,am
48072,O,thinking
48073,O,of
48074,O,a
48075,B-Genre,classic
48076,O,film
48077,O,that
48078,O,features
48079,B-Plot,the
48080,I-Plot,wager
48081,I-Plot,of
48082,I-Plot,a
48083,I-Plot,professor
48084,I-Plot,that
48085,I-Plot,believes
48086,I-Plot,that
48087,I-Plot,he
48088,I-Plot,can
48089,I-Plot,take
48090,I-Plot,a
48091,I-Plot,commoner
48092,I-Plot,woman
48093,I-Plot,and
48094,I-Plot,turn
48095,I-Plot,her
48096,I-Plot,into
48097,I-Plot,someone
48098,I-Plot,that
48099,I-Plot,can
48100,I-Plot,pass
48101,I-Plot,in
48102,I-Plot,high
48103,I-Plot,society
48104,O,i
48105,O,am
48106,O,thinking
48107,O,of
48108,O,a
48109,B-Opinion,classic
48110,O,film
48111,O,that
48112,O,features
48113,B-Actor,tony
48114,I-Actor,curtis
48115,O,and
48116,B-Actor,jack
48117,I-Actor,lemmon
48118,O,as
48119,B-Plot,two
48120,I-Plot,characters
48121,I-Plot,in
48122,I-Plot,drag
48123,O,i
48124,O,am
48125,O,thinking
48126,O,of
48127,O,a
48128,B-Opinion,classic
48129,O,film
48130,O,that
48131,O,stars
48132,B-Actor,audrey
48133,I-Actor,hepburn
48134,O,as
48135,O,the
48136,O,flighty
48137,O,but
48138,O,lovable
48139,B-Character_Name,holly
48140,I-Character_Name,golightly
48141,O,i
48142,O,am
48143,O,thinking
48144,O,of
48145,O,a
48146,B-Opinion,classic
48147,O,film
48148,O,that
48149,O,stars
48150,B-Actor,cary
48151,I-Actor,grant
48152,I-Actor,katherine
48153,I-Actor,hepburn
48154,O,and
48155,O,a
48156,B-Plot,big
48157,I-Plot,cat
48158,I-Plot,with
48159,I-Plot,an
48160,I-Plot,innocent
48161,I-Plot,name
48162,O,i
48163,O,am
48164,O,thinking
48165,O,of
48166,O,a
48167,O,classic
48168,B-Genre,horror
48169,O,movie
48170,O,which
48171,O,as
48172,O,a
48173,B-Plot,possessed
48174,I-Plot,little
48175,I-Plot,girl
48176,O,made
48177,B-Actor,linda
48178,I-Actor,blair
48179,O,a
48180,O,household
48181,O,name
48182,O,i
48183,O,am
48184,O,thinking
48185,O,of
48186,O,a
48187,B-Opinion,classic
48188,B-Genre,musical
48189,O,film
48190,O,where
48191,B-Actor,julie
48192,I-Actor,andrews
48193,O,plays
48194,B-Plot,a
48195,I-Plot,magical
48196,I-Plot,maid
48197,I-Plot,who
48198,I-Plot,brightens
48199,I-Plot,up
48200,I-Plot,the
48201,I-Plot,lives
48202,I-Plot,of
48203,I-Plot,the
48204,I-Plot,children
48205,I-Plot,in
48206,I-Plot,her
48207,I-Plot,charge
48208,O,i
48209,O,am
48210,O,thinking
48211,O,of
48212,O,a
48213,O,classic
48214,B-Director,steven
48215,I-Director,spielberg
48216,O,film
48217,O,that
48218,O,stars
48219,B-Actor,richard
48220,I-Actor,dreyfuss
48221,O,and
48222,B-Actor,terri
48223,I-Actor,garr
48224,O,in
48225,O,a
48226,O,story
48227,B-Plot,about
48228,I-Plot,how
48229,I-Plot,life
48230,I-Plot,changes
48231,I-Plot,for
48232,I-Plot,all
48233,I-Plot,who
48234,I-Plot,experience
48235,I-Plot,a
48236,I-Plot,ufo
48237,O,i
48238,O,am
48239,O,thinking
48240,O,of
48241,O,a
48242,B-Genre,classic
48243,I-Genre,western
48244,O,with
48245,O,the
48246,O,beautiful
48247,B-Actor,grace
48248,I-Actor,kelly
48249,O,about
48250,B-Plot,a
48251,I-Plot,sheriff
48252,I-Plot,that
48253,I-Plot,does
48254,I-Plot,not
48255,I-Plot,have
48256,I-Plot,the
48257,I-Plot,support
48258,I-Plot,of
48259,I-Plot,the
48260,I-Plot,people
48261,I-Plot,from
48262,I-Plot,his
48263,I-Plot,own
